Range-ValidRetailersName,Range-ValidRetailersNRM
energyclubnz,CLUB
Contact Energy,CTCT
Ecotricity,ECOT
Electrica,ENEL
Electra Energy,ELEC
Electric Kiwi,ELKI
Energy Online,GEOL
Flick Electric Co.,FLCK
Globug,GBUG
Genesis Energy,GENE
ID Power,IDPL
Mercury,MEEN
MegaENERGY,MEGA
Meridian Energy,MERI
NextGen Energy,NEXG
Smart Energy Solutions,SMRT
Nova Energy,TODD
Paua to the People,GIVE
Payless Energy,PAYL
P2 Power,EMHT
Powershop,PSNZ
Pulse Energy,PUNZ
Power Direct,PWDR
Tiny Mighty Power,TINY
Trustpower,TRUS
